Gene,Target,Proteome-wide rank,Priority score,Chronos (HCT116),Pan-essentiality (PE),E,D,CRA sites,Max CR,Protein t½,F,Zc,Zc deviation
BCL2L2,BCL-W,151,0.2025461208359757,-0.3470893141068341,0.0397350993377483,0.3332976857317281,0.0594285714285714,3.0,20.00,n.d.,0.0,-0.0947255113024757,0.0567466141349074
MCL1,MCL1,903,0.119422351629186,-0.4515380726967425,0.6365894039735099,0.1640937201273758,0.2194067796610169,1.0,n.d.,0.78 h,1.0,-0.1182926829268292,0.0331794425105539
GPX4,GPX4,1018,0.1140530559056088,0.1295738234551779,0.6043046357615894,0.0512717612678601,0.0914742857142857,8.0,7.24,n.d.,0.0,-0.1561866125760649,0.0047144871386817
LONP1,LONP1,1022,0.1138995190460357,-0.7895753831566539,0.9759933774834436,0.0189550381718071,0.05456,18.0,2.03,n.d.,0.0,-0.162367864693446,0.0108957392560628
CLPX,CLPX,3099,0.0700981664443462,-0.4672226495829754,0.064569536423841,0.4370542996926839,0.0590628571428571,2.0,2.57,26.3 h,0.0,-0.1254953764861294,0.0259767489512537
CLPP,CLPP,9339,0.0231041967310318,-0.1231409694334231,0.0405629139072847,0.1181460128918355,0.0830628571428571,0.0,n.d.,n.d.,0.0,-0.1634182908545727,0.0119461654171895
