gene,D,chronos_hct116,pan_essentiality,CRA,CR,halflife_h,ZC,is_mito,E,L,R,F,Zc_dev,E_n,D_n,L_n,R_n,F_n,Zc_n,score,rank,apop_rank
RNASEL,0.0977684964200477,-0.0857285280307731,0.0008278145695364,1.0,2.55246,,-0.1148740178813329,False,0.08565756070624432,1.0,2.55246,0.0,0.0014683669789136433,0.01989691020724593,0.05734953192616147,0.03333333333333333,0.127623,0.0,0.003648824988209109,0.04749982388943267,6269,90
RHOT2,0.0662285714285714,-0.0005222603346714,0.0057947019867549,5.0,1.54507,,-0.1461006910167818,True,0.0005192339916724764,5.0,1.54507,0.0,0.0053714344206013676,0.00012060992659231791,0.030003814883992858,0.16666666666666666,0.0772535,0.0,0.013400171366052389,0.04629536101147817,6475,91
PPP3R1,0.0979885714285714,-0.0945466177901823,0.0132450331125827,1.0,1.92686,,-0.136150234741784,False,0.09329434470686862,1.0,1.92686,0.0,0.019807849881537457,0.021670815561072768,0.05754034115962566,0.03333333333333333,0.096343,0.0,0.04946782577306095,0.045688188304862584,6580,92
BCAP31,0.0686171428571428,-0.3232715509018444,0.1200331125827814,0.0,0.0,,-0.2375296912114014,False,0.28446826043763296,0.0,0.0,0.0,0.12118730635115486,0.06607752296554043,0.03207475190868058,0.0,0.0,0.0,0.302752251523401,0.04458329503843635,6787,93
BID,0.1295260115606936,-0.0719179062511555,0.0115894039735099,0.0,0.0,,-0.0445859872611464,True,0.07108442058268184,0.0,0.0,0.0,0.10688613817623677,0.016511797928943594,0.08488390378130008,0.0,0.0,0.0,0.26702249625657604,0.0437698353259019,6915,94
ENO2,0.0716914285714285,-0.1259871045122408,0.0008278145695364,4.0,0.0,,-0.1340354236476783,False,0.12588281055155184,4.0,0.0,0.0,0.01769303878743174,0.029240605937514045,0.03474021630887677,0.13333333333333333,0.0,0.0,0.04418422362925241,0.04140345785537986,7319,95
PPP2R5B,0.0976447368421052,-0.0651679019824886,0.0149006622516556,2.0,0.0,,-0.1910974673829624,False,0.06419685708539855,2.0,0.0,0.0,0.07475508252271586,0.014911924767459082,0.05724223000960369,0.06666666666666667,0.0,0.0,0.1867469033173572,0.040983591598986686,7388,96
ANKH,0.1079904306220095,0.0383259579907211,0.0306291390728476,0.0,0.0,,-0.2628205128205128,False,0.03715206689332319,0.0,0.0,0.0,0.1464781279602662,0.008629843447505017,0.06621214400865866,0.0,0.0,0.0,0.36593833922883096,0.04074951319829065,7427,97
SATB1,0.1422093023255813,0.0127154988683157,0.0173841059602649,1.0,0.0,,-0.0920212765957446,False,0.012494451288651271,1.0,0.0,0.0,0.024321108264501942,0.0029022654080900047,0.09588055898938637,0.03333333333333333,0.0,0.0,0.060743661110910264,0.037672030374788425,7892,98
SOD2,0.0872457142857142,-1.040594282571307,0.7649006622516556,0.0,0.0,,-0.1235452103849597,True,0.2446430266972278,0.0,0.0,0.0,0.027926915052423465,0.056826744713368495,0.048226078943326645,0.0,0.0,0.0,0.06975233736001886,0.03500346396500948,8269,99
CYLD,0.0918728323699421,0.0031531586841506,0.0198675496688741,3.0,0.0,,-0.145370758273984,False,0.0030905131473793965,3.0,0.0,0.0,0.029028373413737443,0.0007178778158136156,0.05223787865071951,0.1,0.0,0.0,0.0725041991104015,0.03451193689548001,8321,100
PEA15,0.1103657142857142,-0.076076271156215,0.021523178807947,0.0,0.0,,-0.1859070464767616,False,0.07443886796907792,0.0,0.0,0.0,0.06956466161651505,0.017290983536048885,0.06827156028755305,0.0,0.0,0.0,0.17377925854581885,0.03435772607437153,8346,101
DNAJC3,0.0711657142857142,0.0357682904407409,0.0132450331125827,1.0,1.55794,,-0.1192624558650451,False,0.03529453824947281,1.0,1.55794,0.0,0.0029200710047985468,0.008198368626959678,0.034284411987653605,0.03333333333333333,0.07789700000000001,0.0,0.0072757335687054885,0.029793170862819258,8845,102
HSPB1,0.1089142857142857,0.0258968121542251,0.0008278145695364,0.0,0.0,,-0.0905511811023622,False,0.025875374395819283,0.0,0.0,0.0,0.02579120375788435,0.006010444340086789,0.06701314400939355,0.0,0.0,0.0,0.06441651856947354,0.025127902433317778,9223,103
DIABLO,0.1011085714285714,-0.053331453734015,0.0066225165562913,0.0,0.0,,-0.1323283082077052,True,0.0529782652986904,0.0,0.0,0.0,0.01914381722967798,0.012306021545472905,0.060245440718189075,0.0,0.0,0.0,0.047808819749921454,0.024155879666594663,9269,104
BAX,0.0739542857142857,-0.0638699384672633,0.0,0.0,0.0,,-0.1707060063224446,True,0.0638699384672633,0.0,0.0,0.0,0.019233880885061422,0.01483598669104781,0.03670215664805468,0.0,0.0,0.0,0.048033833002400356,0.017863134651850764,9560,105
