Gene,Protein ID,log2fc_24h,log2fc_48h,mean_A,mean_C,mean_B
Lrpap1,P55302,0.4670065532026752,1.1266214698517394,510767232.0,706002125.0,1115243970.0
Golga3,P55937,,-0.09309791307256014,262608784.0,,246197696.0
Atp5mf,P56135,0.18075905834303724,0.08909850435472187,1249077665.0,1415804672.5,1328650530.0
Rrp1,P56183,0.4270081344706845,0.299622377504367,328966720.0,442276864.0,404899544.0
Arpp19,P56212,,0.7473191103290737,378293760.0,,635030590.0
Gfer,P56213,,1.3879362266193411,153552762.66666666,,401853792.0
Atp5f1e,P56382,0.6280122121334132,0.8256182833175545,457931925.3333333,707703650.0,811590192.5
Atp5mc2,P56383,,,,618286460.0,319299280.0
Cox6b1,P56391,0.13156679301461577,0.754657796902546,557690400.0,610940224.0,940952720.0
Cox7b,P56393,,,,93378704.0,122837620.0
Cyb5a,P56395,0.9373658761786309,1.5090913845031462,246606884.0,472259215.5,701918952.0
Usp5,P56399,0.4867862843362238,-0.025014885432325905,312177952.0,437461160.0,306811756.0
Atp5f1b,P56480,0.26202414325432416,0.2632675312724704,5881661150.0,7053052675.0,7059133975.0
Ctbp2,P56546,0.052591662915002155,0.026936500598837933,230814328.0,239383621.33333334,235164336.0
Wfs1,P56695,,,,,
Pdcd5,P56812,-0.6433562297432408,-0.7919624789285775,949706927.5,608023105.0,548510751.0
Znrd2,P56873,,,,,
Fus,P56959,-0.21332416225680842,-0.14725107630084272,2614863040.0,2255443617.5,2361141180.0
Exosc10,P56960,0.13803919047014487,0.20475219679241993,229283972.0,252306032.0,264247112.0
Ncstn,P57716,0.5875286786598707,0.7245163740547095,180149444.0,270705252.0,297669328.0
Pcbp4,P57724,,,,,
Erp29,P57759,0.0016949808133307346,0.569597478971363,775703712.5,776615600.0,1151229200.0
Eef1d,P57776,-0.019121364823262738,-0.05862043794404642,7346707050.0,7249976825.0,7054174725.0
Actn4,P57780,-0.49131005827881036,-0.7033492466600543,1659421217.5,1180477120.0,1019124912.5
Snrpa1,P57784,0.0029572930112937326,0.07845058361193513,949756530.0,951705375.0,1002832192.5
Tm9sf2,P58021,,,,229954400.0,309980032.0
Idi1,P58044,,,,,
Mrps21,P58059,,,,,
Mrps6,P58064,0.6016150783214034,0.6072352530356843,164547708.0,249687052.0,250661632.0
Smpdl3b,P58242,,,,,
Eef2,P58252,-0.26114750273777976,-0.6941850410234665,12631593950.0,10540104700.0,7807062150.0
Opa1,P58281,,,,,
Ptpa,P58389,-0.6936327084081063,-0.5143556755715605,479166408.0,296266204.0,335467056.0
Foxp1,P58462,,,,,
Slx9,P58468,,,206128133.33333334,,
Paxbp1,P58501,,,,,
Aaas,P58742,-0.12943989979899273,-0.04718808920304893,244498202.66666666,223516906.66666666,236630456.0
Tpm1,P58771,-0.4965106545751783,0.004094993489843322,7373871750.0,5226740995.0,7394831725.0
Tpm2,P58774,-0.6444911168260695,0.01161307854233969,288610664.0,184629552.0,290943232.0
Tbc1d10a,P58802,,,,,
Tubgcp3,P58854,,,,,
Tnks1bp1,P58871,-0.24426291201211292,-0.27693084007838237,762795665.0,643987967.5,629569567.5
Bcl2l13,P59017,-0.2695820150500103,-0.28095141921664035,280768032.0,232913888.0,231085584.0
Nup43,P59235,0.326711726223417,0.49748179264499864,173297888.0,217341820.0,244652812.0
Eif5,P59325,-0.3299048477499115,-0.48814581078512165,651603375.0,518408448.0,464554631.0
Ythdf1,P59326,,,151367904.0,,
Wdhd1,P59328,,,1379431040.0,,
Polr3b,P59470,-1.3113381422703385,,252827776.0,101876184.0,
Sf3b6,P59708,-0.2776629106320313,-0.0585022243373841,335585840.0,276833576.0,322249834.6666667
Arpc4,P59999,-0.2510946709069691,-0.005838755338023619,1650587870.0,1386920672.5,1643921247.5
Sec61g,P60060,,,,,
Ruvbl1,P60122,0.2851020891256178,0.24435396474340107,984272047.5,1199332030.0,1165931470.0
Eif3e,P60229,0.08803667789689767,0.05549641216496862,1579734975.0,1679136160.0,1641686845.0
Pcbp1,P60335,0.3621824256809331,0.3296312513910577,4064324600.0,5224156275.0,5107604725.0
Romo1,P60603,,,,,
Nploc4,P60670,-0.4714395967479083,-1.0278944728854462,310354448.0,223841452.0,152205696.0
Actb,P60710,-2.1831801111321907,,11960643325.0,2633612290.0,
Cdc42,P60766,-0.414893678210989,-1.020888438407549,1835263395.0,1376584770.0,904441247.5
Eif4a1,P60843,-0.33072296706212656,-0.5690530336482036,9754784525.0,7756399100.0,6575301150.0
Rps20,P60867,-0.15177464749807298,-0.2959557002093494,7946666600.0,7153132525.0,6472818800.0
Dnajc5,P60904,,,,,
Chp1,P61022,,,,,
Rab10,P61027,-0.1119030325414589,0.04140541100681736,1186568735.0,1098011102.5,1221116702.5
Ube2d3,P61079,-0.48368510072886695,-1.063883541170088,3093934910.0,2212623135.0,1479961150.0
Ube2d1,P61080,,,,,
Ube2m,P61082,-0.19779635102912022,-0.34422992655331064,677587390.0,590775777.5,533754785.5
Ube2k,P61087,0.553650310739571,-0.054881420669569164,556934432.5,817465475.0,536146055.5
Ube2n,P61089,-0.31747927597750164,-0.3964084783793315,2934218625.0,2354624640.0,2229264637.5
Actr2,P61161,-0.3653299113633899,-0.5771591261979444,867178210.0,673182930.0,581254258.0
Actr1a,P61164,-0.07483093284090464,-0.02567715765032943,919922527.5,873423552.5,903694542.5
Cops2,P61202,-0.11871741562043273,-0.2768308212052312,469512384.0,432423760.0,387536552.0
Arl1,P61211,0.6978644673075884,0.40412943612992913,155048704.0,251504800.0,205174424.0
Abce1,P61222,-0.15442651386269807,-0.3059256092349531,1360787520.0,1222653245.0,1100772402.5
Rap2b,P61226,,,,2202765440.0,1728042050.0
Rpl26,P61255,-0.08053614696248013,-0.15037243136720452,5959450375.0,5635888750.0,5369571075.0
Psme3,P61290,0.11551534405369687,0.13817786158795,759349887.5,822650785.0,835675392.5
Magoh,P61327,1.1915675096880038,1.710669624079232,195901736.0,447441072.0,641211280.5
Rpl27,P61358,-0.2941378317506401,-0.29682082670885185,6856700400.0,5592047650.0,5581657725.0
Rpl37a,P61514,0.10152456239390846,0.004185521702017487,1747490402.5,1874894080.0,1752567552.5
Naa20,P61600,,,,,
Sec61a1,P61620,0.9019869791144255,0.9468985476098428,696848160.0,1302156832.5,1343330957.5
Arf4,P61750,0.39333803736808953,0.3161459424338881,786845680.0,1033465807.5,979623007.5
Vbp1,P61759,-0.07889586979856168,-0.3286747264241427,442642776.0,419086197.3333333,352462104.0
Dad1,P61804,0.769600557164896,0.9396832637736169,427926592.0,729528272.5,820809026.6666666
Copz1,P61924,-0.5785036343899049,-0.6683046805427275,615451170.0,412141792.0,387269992.0
Sumo2,P61957,0.03376310354522228,-0.21050052219286725,2679233855.0,2742674882.5,2315493952.5
Ufm1,P61961,-0.8056588354052898,-0.020906536110766615,637827505.0,364901600.0,628651200.0
Dcaf7,P61963,,,,,
Wdr5,P61965,0.6036733709988475,0.33372624038218773,496149991.0,753939991.0,625280084.6666666
Ap1s1,P61967,,,219269224.0,,
Nutf2,P61971,,0.026726322142909036,267384432.0,,272383968.0
Hnrnpk,P61979,0.14953954532893776,0.009875279159798644,8462761575.0,9387025425.0,8520888075.0
Ywhag,P61982,0.0549821124433117,-0.03698332953621119,3432227837.5,3565556925.0,3345361217.5
Timm13,P62075,-0.2091144653073352,0.5910663706801152,1904884382.5,1647854622.5,2869441190.0
Timm8b,P62077,,,,,
Rps7,P62082,-0.08855014307657166,-0.35596348605483064,5877702925.0,5527788050.0,4592529400.0
Ppp1ca,P62137,0.07670095806625601,-0.13311688911928446,1491427840.0,1572865312.5,1359972320.0
Ppp1cb,P62141,-0.2381880942145395,-0.23445526404958186,564212545.0,478344712.0,479583984.0
Psmc1,P62192,0.2509863110955742,0.06357565567884024,1565686657.5,1863199070.0,1636225022.5
Psmc5,P62196,0.20251952319207173,-0.1242143760095099,723531040.0,832571650.0,663842288.0
Rps8,P62242,0.0754738149823303,0.03489209281633547,8070242550.0,8503671400.0,8267803650.0
Rps15a,P62245,0.046677131080022145,-0.285637400679038,4879521025.0,5039975325.0,4003056945.0
Ube2g1,P62254,0.25186608161758095,,137609496.0,163858000.0,
Ywhae,P62259,0.22965691677959874,-0.12565278293892873,6572514950.0,7706642325.0,6024296325.0
Rps14,P62264,-0.2780172561667808,-0.28466267717081223,7303883400.0,6023685625.0,5996002800.0
Rps23,P62267,0.2622283956278911,0.10769278940940924,4220416115.0,5061670675.0,4547513872.5
Rps18,P62270,0.16983474474747304,0.04794707450181562,7892033675.0,8877982450.0,8158727675.0
Rps29,P62274,-0.5853142481742724,-0.8834657376162218,1916063392.5,1277064192.5,1038628382.5
Rps11,P62281,-0.06394902643480067,-0.16441752923554734,4355717940.0,4166862537.5,3886557887.5
Rps13,P62301,-0.4968412647595893,-0.633491389824834,6617045750.0,4689213575.0,4265443827.5
Snrpe,P62305,0.006319591664777364,-0.3493489094242136,706478655.0,709580107.0,554542127.5
Snrpf,P62307,,,213998794.66666666,,
Snrpg,P62309,0.26704738369996783,0.29847278435087826,890225567.5,1071246302.5,1094836642.5
Lsm3,P62311,0.09808848455072522,-0.4757897003729574,317289632.0,339612336.0,228154432.0
Lsm6,P62313,0.3747761512830182,,154524748.0,200362714.66666666,
Snrpd1,P62315,0.12004920139047218,-0.3670184561837935,1421809215.0,1545182337.5,1102447102.5
Snrpd2,P62317,0.1964954551369429,0.25224916478358794,2297128512.5,2632305665.0,2736023715.0
Snrpd3,P62320,0.33969569783859327,0.26556522770209867,1735995295.0,2196884062.5,2086851967.5
Lsm5,P62322,-0.05873543060063383,-0.4698333575035707,397575560.0,381714408.0,287068636.0
Arf6,P62331,0.35874010214957885,0.1593868090259407,211213340.0,270840044.0,235885668.0
Psmc6,P62334,0.11228461770312223,0.06657175611417784,1303074367.5,1408543422.5,1364612350.0
Polr2g,P62488,,,,,
Eef1a2,P62631,1.009180640486997,0.3538580787155378,4183733252.5,8420882950.0,5346700812.5
Rps4x,P62702,0.09425247047938193,0.010240947586342107,5305827575.0,5664035325.0,5343624900.0
Rpl18a,P62717,0.07263801528172219,0.06558023842138136,5574745600.0,5862613650.0,5834003325.0
Ap2s1,P62743,,,338268650.6666667,,
Rhob,P62746,,,,,
Hpcal1,P62748,,,,96921120.0,285754112.0
Rpl23a,P62751,-0.2799472666525025,-0.29258769094045195,9079458325.0,7478033650.0,7412799750.0
Rps6,P62754,0.015252330421459489,0.033866488178346955,7370719750.0,7449057175.0,7545790225.0
Mtpn,P62774,,1.141097540342568,387471616.0,,854563780.0
H4c16,P62806,0.1846184339475373,-0.0446205463379474,111155908750.0,126330507250.0,107770632250.0
Atp6v1b2,P62814,0.24187826011701283,0.27248037950991816,465353008.0,550294455.5,562091856.0
Rab1A,P62821,-0.05377290272191749,-0.059168570811438455,2618054912.5,2522269537.5,2512853887.5
Ran,P62827,0.008538153789768133,-0.3029354123846678,7491453025.0,7535920375.0,6072582375.0
Rpl23,P62830,-0.2744609960559826,-0.5190032068084931,8568481300.0,7084070275.0,5979547500.0
Rap1a,P62835,,,,,
Rps15,P62843,-0.6416283339747855,-1.1962387734471989,2378176960.0,1524385442.5,1037863920.0
Rps24,P62849,-0.41419247176700696,-0.7039302791279574,2175429502.5,1632528065.0,1335490752.5
Rps25,P62852,-0.17120157079604034,-0.2241889269629461,15629033475.0,13880186875.0,13379643125.0
Rps26,P62855,0.18833717744274053,0.005607401192183186,4764737275.0,5429178225.0,4783292675.0
Rps28,P62858,-0.9369673200687935,-0.918809966364586,7756171525.0,4051278847.5,4102589315.0
Fau,P62862,-0.6844420367270473,-0.689102713964582,7075473425.0,4402688110.0,4388488020.0
Elob,P62869,-0.30022732351507014,0.23034950940179752,413317752.0,335665440.0,484870956.0
Gnb1,P62874,-0.31485282743612025,-0.18812075855956062,913302877.5,734234320.0,801650070.0
Polr2l,P62876,,,,,
Rbx1,P62878,,,,,
Gnb2,P62880,0.20792584953582038,-0.05284142420618871,2728693120.0,3151712640.0,2630557760.0
Rpl30,P62889,0.25614486240653905,0.1946671609298534,3334958210.0,3982884230.0,3816726592.5
Rpl39,P62892,-0.5485808371477331,-0.8507900748912638,4866322850.0,3327067647.5,2698283550.0
Cycs,P62897,-0.24002395546015085,-0.4152805492092301,1396226945.0,1182228990.0,1046993807.5
Rpl31,P62900,-0.297423755440864,-0.6278929110982333,10455488250.0,8507674125.0,6765964550.0
Rps3,P62908,0.048364658789519524,-0.14170577208168472,5715329925.0,5910177425.0,5180642425.0
Rpl32,P62911,-0.05859820524276416,-0.17882069408200826,6602837900.0,6340022775.0,5833111025.0
Gtf2b,P62915,0.19750070677092937,0.5015145618313763,269179072.0,308670360.0,381076544.0
Rpl8,P62918,-0.1897539555894431,-0.21440992709885004,9284733700.0,8140438875.0,8002499075.0
Ybx1,P62960,-0.4692248344586232,-0.6446353738199282,3331488065.0,2406509120.0,2131001120.0
Pfn1,P62962,-0.3552616677157337,-0.8065555576026031,10350156550.0,8091005575.0,5917653100.0
Rps27a,P62983,-0.3022010343329717,-0.6153306325014052,42603176750.0,34551778575.0,27810513400.0
Uba52,P62984,0.3806702827022087,0.289299723301009,153339664.0,199640055.0,187388270.0
Tra2b,P62996,0.32202439439448527,0.2942067341800315,876236447.5,1095368672.5,1074450385.0
Rac1,P63001,-0.061980007079486435,-0.1771331436919561,3500487425.0,3353286655.0,3096036930.0
Pafah1b1,P63005,0.18837232324970135,0.025555024186565467,356147136.0,405821616.0,362511914.6666667
Hspa8,P63017,-0.41318446771733686,-0.7379130470164651,26837040625.0,20153649675.0,16091653125.0
Vamp3,P63024,0.2822482629220024,0.4338036994307083,369820436.0,449734391.5,499549849.0
Tpt1,P63028,-0.08170954215411223,-0.2966939013201693,2674754495.0,2527475200.0,2177560160.0
Dnaja1,P63037,0.2041627661532568,0.28515851542208337,1502138847.5,1730490400.0,1830422495.0
Hspd1,P63038,0.3424911669427186,0.47502734595037927,12300121600.0,15595866875.0,17096487175.0
Eif4e,P63073,-0.29069330624097117,-0.5828900395990546,848223757.5,693430640.0,566295416.0
Atp6v0c,P63082,,,,,
Mapk1,P63085,-0.1267296829392437,-0.1913876718275186,772429022.5,707471822.5,676464722.5
Ppp1cc,P63087,0.19387316713404018,-0.1694929959604022,617334382.5,706125840.0,548906015.0
Ywhaz,P63101,-0.09368485511548726,-0.3152628399598587,4463120037.5,4182506417.5,3587029895.0
Nfyb,P63139,,,,,
Crnkl1,P63154,0.2936201731971469,-0.02827254845617777,146960490.0,180131253.33333334,144108536.0
Hmgb1,P63158,-0.2513220047450424,-0.6893322748785404,7603016950.0,6387493875.0,4714941047.5
Dynll1,P63168,0.2726407660565675,0.46268157802852733,1174871327.5,1419264545.0,1619091297.5
Eif5a,P63242,-0.012427386767343925,-0.19644177738375668,4043104125.0,4008426365.0,3528418242.5
Actg1,P63260,-0.3278804042215645,-0.31662200256730677,137609959250.0,109634699250.0,110493605750.0
Supt4h1a,P63271,0.5247731425115871,0.7913781010907163,211863676.0,304809824.0,366678165.3333333
Rps17,P63276,-0.09478223673923437,-0.2931737316632423,2773694210.0,2597324927.5,2263625057.5
Rala,P63321,0.3754164493643315,0.4355103441244359,220770136.0,286386101.3333333,298567136.0
Rps12,P63323,-0.09338101368981892,-0.08267252323729359,10775043575.0,10099701750.0,10174946300.0
Rps10,P63325,0.40724968181203425,0.4088180617936589,4456275565.0,5909713250.0,5916141300.0
Ppp3ca,P63328,1.0769020752582665,0.5467557594120301,140424084.0,296224808.0,205131088.0
Ppp2ca,P63330,0.0742986673600249,-0.039576571804358834,347308512.0,365663452.0,337910504.0
Phb1,P67778,0.4872628125395565,0.6151732644404093,2501085565.0,3505978690.0,3831017667.5
Csnk2b,P67871,0.3015819095539828,0.40913018892275554,758445870.0,934780817.5,1007128880.0
Rpl22,P67984,-0.32013697860165324,-0.37345044861272503,7398725225.0,5926333200.0,5711328125.0
Actc1,P68033,,,,,
Ube2l3,P68037,0.05905543027271631,-0.04871144400510933,2206062785.0,2298239710.0,2132820285.0
Rack1,P68040,-0.13877981098173486,-0.457642264714179,4279207922.5,3886749067.5,3116013567.5
Acta1,P68134,-0.8507627608038485,-0.21469814391897785,13775035925.0,7638140275.0,11870312675.0
Prkacb,P68181,,,,,
Ywhaq,P68254,0.16661969110643957,0.1639708727603659,1554644737.5,1744972897.5,1741772030.0
Tuba4a,P68368,0.028685806652449398,-0.15234319561090298,22307135000.0,22755117575.0,20071689225.0
Tuba1a,P68369,0.05210189174845114,-0.08956616845064674,31215228425.0,32363147275.0,29336237575.0
Tubb4b,P68372,0.00336868806918158,-0.3463895315343025,2989900610.0,2996890175.0,2351706462.5
Tuba1c,P68373,,,,,
H3c11,P68433,1.1501622201053388,0.8796235578477314,1045567360.0,2320520157.5,1923734320.0
Ywhah,P68510,0.14261565169730647,-0.0422067727967148,1672141245.0,1845884607.5,1623930560.0
Ranbp9,P69566,,,,,
Sbds,P70122,-0.0007467173131189275,-0.12934334275035597,515727017.0,515460153.5,471502128.0
Kpnb1,P70168,-0.08901585536094864,-0.27632595734578186,3755378687.5,3530671360.0,3100782722.5
Psmb7,P70195,-0.35080108479940014,-0.7825154256894792,837256367.5,656533377.5,486740903.5
Lxn,P70202,,,,,
Itpr3,P70227,,,141696856.0,,
Ebp,P70245,,,,,
Nfic,P70255,-0.2415865891050645,0.14679121110232857,471080768.0,398447003.0,521535568.0
Nfix,P70257,,,,,
Rad54l,P70270,0.6476737250453853,,123989744.0,194247296.0,
Surf6,P70279,0.29343623699321386,0.6945686670943698,143565232.0,175947210.66666666,232346042.66666666
Hdac2,P70288,0.3346519075606961,0.03381786229878652,196839796.0,248229372.0,201508373.33333334
Mpp1,P70290,,,182790618.66666666,,
Pebp1,P70296,,0.726921168221818,231160650.66666666,,382594730.6666667
Stam,P70297,,,,,
Ctps2,P70303,,,,,
Tial1,P70318,0.07777358256769581,-0.09655728866586623,652448110.0,688585952.5,610210023.5
Hnrnph2,P70333,,,170609722.66666666,,
Rock2,P70336,,,,148942484.0,
Hint1,P70349,-0.7299798780357803,-0.400539292783256,4117060480.0,2482226497.5,3118982265.0
Nfyc,P70353,,,,,
Ufd1,P70362,,,,,
Elavl1,P70372,-0.10060917857853441,-0.19999663198632994,1109041762.5,1034335712.5,965479185.0
Rad50,P70388,0.09971802578937974,0.4314017232065465,300654944.0,322171016.0,405446176.0
Usp9x,P70398,0.2973919190787474,0.39474708319755814,408658400.0,502208800.0,537268208.5
Idh3g,P70404,0.5415302575044992,0.6198566008770175,284483636.0,414070357.3333333,437172384.0
Slc9a3r1,P70441,-0.4565287626717762,0.4990037695863848,272715648.0,198738133.33333334,385411936.0
Bid,P70444,,,,,
Vasp,P70460,,,,,
Naca,P70670,-0.09547807868132108,-0.23709055016413827,3033073920.0,2838842047.5,2573425662.5
Casp3,P70677,,,,340225994.6666667,268729800.0
Ctps1,P70698,0.29022792184844404,0.08136907063364032,882659505.0,1079345567.5,933872815.0
Gaa,P70699,0.10002878165935232,0.08461618336834832,193503012.0,207395530.66666666,205191676.0
Polr1b,P70700,0.06039312808332698,0.04633305835345384,103609960.0,108039272.0,106991468.0
Cct7,P80313,-0.006130902853164511,-0.3179228231244349,3605390335.0,3590101312.5,2892330945.0
Cct2,P80314,-0.13122174464801656,-0.36815884983415187,4812399900.0,4393999750.0,3728506050.0
Cct4,P80315,-0.06779458338514395,-0.37075965438385816,6297349375.0,6008272000.0,4870213625.0
Cct5,P80316,-0.13548217316349218,-0.32618998060198345,8297244275.0,7553525125.0,6618215550.0
Cct6a,P80317,-0.13718778113400631,-0.4825373197717242,4602364300.0,4184883332.5,3293993857.5
Cct3,P80318,-0.057967043571151365,-0.35000576474442296,5430966550.0,5217077750.0,4261032965.0
Gabpb2,P81069,,,,,
Nucb2,P81117,,,,,
Wnk1,P83741,0.25889417444156737,,204606536.0,244824240.0,
Phf5a,P83870,0.021446927013161213,0.16041885041713544,420856520.0,427159656.0,470354112.5
Rpl36a,P83882,-0.04841324771802447,0.033097727527751135,3833608065.0,3707096320.0,3922573760.0
Tubg1,P83887,0.5557012097908093,,183803422.0,270169504.0,
Cbx1,P83917,0.12579381031294648,0.06957615328376719,272857932.0,297717452.0,286339388.0
Eloc,P83940,-0.3450969023591006,-0.2570935106478697,930142095.0,732259105.0,778316865.0
Arf1,P84078,0.43340357292192466,-0.36233922837371,1024457362.5,1383443297.5,796927680.0
Arf5,P84084,0.3308999515776278,,226400648.0,284766224.0,
Erh,P84089,0.07255111375940602,0.43229899359778107,4689176807.5,4931018930.0,6327491530.0
Ap2m1,P84091,-0.05310688798460957,-0.27932366290647437,467592720.0,450693168.0,385285744.0
Rhog,P84096,-0.009931637940794531,-0.24559033716703546,260658280.0,258870048.0,219857592.0
Rpl19,P84099,-0.4594039701157264,-0.48209959488609594,5794481525.0,4214249145.0,4148471812.5
Serf2,P84102,-0.2820356039231065,,462895032.5,380698656.0,
Srsf3,P84104,0.031024000832803843,0.1061870537363439,4385189900.0,4480511125.0,4720129277.5
H3c15,P84228,0.6274988704486552,0.34969285674445605,63119282250.0,97511993250.0,80432226500.0
Isoc2a,P85094,,,,,
Mcl1,P97287,,,,,
Nptn,P97300,0.687588547958539,1.0681106803376732,149526669.33333334,240826036.0,313510444.0
Polr1d,P97304,0.4444631822630404,0.8221905890855927,256418404.0,348936132.0,453370462.6666667
Mcm2,P97310,0.11805407408334304,-0.12240905268481085,910519390.0,988159422.5,836450802.5
Mcm6,P97311,0.3180415737963526,0.11480326465396758,1040677807.5,1297347582.5,1126874417.5
Csrp2,P97314,,0.580584173361207,290503416.0,,434434688.0
Csrp1,P97315,-0.9616943508066674,-0.6129130463320231,547115938.0,280918616.0,357745479.5
Kif20a,P97329,0.6782668654192539,0.7396870722155445,177242544.0,283626396.0,295962012.0
Nxn,P97346,-0.014955827372019274,,188821500.0,186874176.0,
Rps3a,P97351,-0.2571337403399463,-0.3090170612023853,9305236500.0,7786144275.0,7511108075.0
S100a13,P97352,,,,,
Sms,P97355,,,,,
Sptlc2,P97363,,,,,
Atp1b3,P97370,0.8956949297526428,0.8971818497794753,172986872.0,321843088.0,322174968.0
Psme1,P97371,-0.006825541222087689,-0.29675397256688574,436406416.0,434346608.0,355270608.5
Psme2,P97372,0.18593283031478497,-0.21491128475968266,830362832.5,944581120.0,715439902.5
Cdk2,P97377,0.10525612452136285,0.27521473299545124,286269504.0,307935909.3333333,346435968.0
G3bp2,P97379,0.27025785813532205,0.1742762832338932,571734319.0,689524947.5,645143982.5
Anxa11,P97384,1.4695165546917741,1.4168184486702136,86445168.0,239391808.0,230805192.0
Lig3,P97386,,,,,
Anxa4,P97429,0.3682265100906927,0.4854904870078914,809764050.0,1045215200.0,1133719695.0
Atp5pf,P97450,,,,,
Bop1,P97452,0.3272009030985173,0.28219957379795474,637060160.0,799240960.0,774695410.0
Rps5,P97461,-0.059924536313890255,-0.15661680329013247,5880713225.0,5641452275.0,5275743175.0
Smad4,P97471,,,,,
Aurka,P97477,,,,,
Myo7a,P97479,-0.9822757071553819,-3.4377465785388464,705612671.3333334,357167488.0,65118072.0
Txn2,P97493,,,,,
Gclc,P97494,,,,,
Smarcc1,P97496,-0.031193056691181335,0.11246043168074624,309396008.0,302778240.0,334478856.0
Polr2c,P97760,,,,224426432.0,195602906.66666666
Thumpd3,P97770,0.276099805407472,,225948944.0,273605384.0,
Fh,P97807,0.3112361503543942,0.3007043272511591,1022728142.5,1268970785.0,1259740897.5
Map4k4,P97820,,,,,
Anp32e,P97822,0.21832116038111557,-0.08247802337594001,957306802.5,1113710625.0,904113150.0
Lypla1,P97823,,-0.04269995215610565,211183520.0,,205024640.0
Jpt1,P97825,-0.1926612154244441,-0.2708485289251895,1673837600.0,1464591517.5,1387330032.5
G3bp1,P97855,-0.180312860720905,-0.20440229185333772,2664631680.0,2351568355.0,2312628992.5
Nfib,P97863,,,,,
Rbbp6,P97868,,,61118868.0,,
Dtymk,P97930,,,,189257232.0,204710656.0
Bmp1,P98063,,,,,
Shc1,P98083,,,,,
Tubb5,P99024,-0.2267711728420225,-0.44914951792425933,29148991475.0,24909132800.0,21350893575.0
Psmb4,P99026,0.06963539078088672,-0.4461007294315679,765089537.5,802924305.0,561594133.5
Rplp2,P99027,-0.18501344612208753,-0.1346696542083668,4098876365.0,3605539202.5,3733577867.5
Uqcrh,P99028,0.31833912960296934,1.2129387058283807,373688672.0,465950261.3333333,866245250.0
Prdx5,P99029,0.14896434029866712,0.36181837068632444,559126615.5,619944627.5,718502607.5
Gabpa,Q00422,,,,,
Xdh,Q00519,,,,,
Hmmr,Q00547,,,,,
G6pdx,Q00612,0.48443933854637117,0.14934910003317883,842049582.5,1178062785.0,933891072.5
Yy1,Q00899,,,,,
Axl,Q00993,,,,,
Hnrnpul2,Q00PI9,0.40411484224014144,0.5529675312521413,577647247.5,764387185.0,847466465.0
Creb1,Q01147,,0.7194251074754399,394476992.0,,649516540.0
Col1a2,Q01149,-0.7596293720719528,0.009511174909482846,1711532032.5,1010913055.0,1722852830.0
Top2a,Q01320,0.3894109903370822,0.3007431391331253,1398668382.5,1832057695.0,1722849985.0
Sec23a,Q01405,-0.20207341455048808,-0.4888672162628243,261034432.0,226917316.0,186009061.33333334
Rsu1,Q01730,-0.757890902104632,-0.7144607155500412,491531975.5,290672456.0,299555756.0
Nme2,Q01768,-0.06769013703517542,-0.5010383554120049,4333529667.5,4134900015.0,3062063552.5
Vcp,Q01853,-0.14956063338034803,-0.7421846103913222,3940607230.0,3552555840.0,2355826592.5
Aqp1,Q02013,,,,254059072.0,389654624.0
Uba1,Q02053,-0.1776669019591782,-0.4220052078219187,3210181502.5,2838223040.0,2396036127.5
Ctnnb1,Q02248,0.2894961858874851,0.40226579606914425,339576088.0,415034440.0,448777600.0
Jup,Q02257,,,,,
Sap30bp,Q02614,,,,,
Nucb1,Q02819,0.055405318279100946,0.39488376405041914,229965376.0,238968752.0,302366944.0
Epha2,Q03145,,,,466433048.0,517258632.5
Cdk7,Q03147,1.131022166044931,1.2905408931904236,699117591.3333334,1531164416.6666667,1710179710.0
Enah,Q03173,,,,,
Atp5f1a,Q03265,0.36243161659752593,0.31473891659123904,7384822525.0,9493860600.0,9185142900.0
Pfdn6,Q03958,-0.11064393087938802,-0.1207726334789613,595867218.0,551877071.5,548016087.5
Eif2ak2,Q03963,0.31921361720878877,,179528960.0,223989360.0,
Smarcad1,Q04692,,,,,
Top1,Q04750,0.2016785405469778,0.3977702909039847,793460687.5,912508050.0,1045360782.5
Col6a1,Q04857,,,,,
Rcn1,Q05186,0.1461422719391848,0.7715292118961454,316454696.0,350190816.0,540212936.5
Ptgs2,Q05769,,,,,
Hspg2,Q05793,-0.17986276268208612,0.017336888992740312,290290008.0,256264236.0,293799472.0
Fabp5,Q05816,-0.417560022803664,-0.4067521880128902,1627686050.0,1218631920.0,1227795485.0
Pc,Q05920,0.4440979342221248,0.46785924127607775,216756184.0,294888812.0,299785872.0
Larp7,Q05CL8,-0.13115009973539257,-0.039872373369669534,262133424.0,239354880.0,254987928.0
Eif5b,Q05D44,-0.06565065274442816,-0.21877293093860634,685015182.5,654541792.5,588630800.0
Cab39,Q06138,0.002140858028993676,0.09537742099906174,191737376.0,192022112.0,204841640.0
Ptpn2,Q06180,,,,,
Atp5me,Q06185,0.9176980754506054,1.4703424364748505,965116906.6666666,1823201087.5,2674219805.0
Anxa7,Q07076,0.567703617117779,0.5677066554314227,639929967.5,948480192.5,948482190.0
Igf2r,Q07113,,,,,
Ect2,Q07139,,,,,
Acads,Q07417,0.23087854491882484,0.3139602017489697,287436168.0,337320536.0,357316320.0
Bax,Q07813,,,,,
Plk1,Q07832,0.4056102838307917,-0.34798875963064546,413090544.0,547200034.0,324556416.0
