Gene,Protein ID,log2fc_24h,log2fc_48h,mean_A,mean_C,mean_B
Diaph1,O08808,-0.24465614384705248,,185046040.0,156181992.0,
Eftud2,O08810,0.15108218846937027,0.07979555398842561,943452157.5,1047611247.5,997104640.0
RO60,O08848,0.36005921924917067,,206300624.0,264782432.0,
Aip,O08915,,,,129730256.0,
Sdcbp,O08992,,,,,
Atox1,O08997,,,,,
Degs1,O09005,-0.06228751503325196,-0.09732599194263042,414047536.0,396551680.0,387036712.0
Pex5,O09012,0.757656999670548,0.11372275494559488,128351548.0,217009424.0,138878517.33333334
Snap23,O09044,0.8712901616454404,0.8337672600493203,168295872.0,307863312.0,299959360.0
Psmb1,O09061,0.06649534136134842,-0.16989408541228612,1090708640.0,1142157105.0,969539567.5
Hdac1,O09106,0.3697128281294777,0.004052752172067654,487683688.0,630133952.5,489055592.5
Map2k3,O09110,,,,145689362.66666666,108164552.0
Ndufb11,O09111,,,,411995392.0,240132288.0
Sypl1,O09117,,,,,
Gsto1,O09131,0.27757098369508515,0.04232754994831905,2819330302.5,3417457727.5,2903272640.0
Rpl21,O09167,0.09665925705090178,0.2271934078424632,5300874375.0,5668195850.0,6204967950.0
Gclm,O09172,0.3939642675256883,-0.01548942414341994,4215882360.0,5539665550.0,4170860865.0
Ptgis,O35074,,,,,
Scarb2,O35114,,,,,
Phb2,O35129,0.6069126242775658,0.6575389744323477,2139349182.5,3258221312.5,3374587007.5
Emg1,O35130,,,,211141381.33333334,130876128.0
Polr1a,O35134,0.41905586370908143,0.7765642069848269,157634056.0,210764972.0,270034448.0
Gosr2,O35166,,,,,
Cdk2ap1,O35207,,,,169834664.0,171413496.0
Cpsf2,O35218,0.8276490839168059,0.9540766881118328,262942092.0,466667239.5,509408063.5
Psmd4,O35226,-0.05111293420558175,0.17415217819261206,860038320.0,830101647.5,970382222.5
Chek1,O35280,,,,,
Dhx15,O35286,0.3225272639722511,0.32606638912711455,1638278207.5,2048698432.5,2053730335.0
Purb,O35295,0.03825725440415739,,172321016.0,176951736.0,
Nmi,O35309,,,,,
Slc6a6,O35316,0.2608244085017511,0.3987728546142733,181385964.0,217329984.0,239136720.0
Srsf5,O35326,0.08538291511533519,0.20890936322247455,628533110.0,666854335.5,726467425.0
Kpna4,O35343,0.4910375947738031,0.4167672881005863,1452569247.5,2041521182.5,1939082560.0
Kpna3,O35344,0.13177986963030228,0.08635032634182438,605977167.5,663935597.5,643354435.0
Kpna6,O35345,0.5037949092290652,0.399145989110825,647804300.0,918546625.0,854277055.0
Capn1,O35350,,,,,
Abcc1,O35379,0.8070327110515949,,156796016.0,274331752.0,
Anp32a,O35381,-0.13033557594088,-0.3957063253890554,3128092927.5,2857884865.0,2377717055.0
Fkbp8,O35465,-0.3468037091503972,-0.3564318152883578,415774016.0,326933200.0,324758612.0
Notch2,O35516,,,,,
Cd151,O35566,,,,,
Psmd14,O35593,0.3830553041661959,0.1844792198995853,776890862.5,1013143937.5,882863967.5
Npc1,O35604,,,,,
Scamp3,O35609,-0.036677592635905976,0.02090270471715395,519614608.5,506570968.5,527197926.5
Daxx,O35613,,,,,
Stag2,O35638,1.0940757867222834,1.1398911376786818,105995708.0,226275696.0,233576800.0
Anxa3,O35639,0.10964924400257806,0.11020737753073344,2358575297.5,2544822272.5,2545806975.0
Anxa8,O35640,,,263046812.0,,
Ap1b1,O35643,0.7121249751757711,0.0668669715945554,458003407.5,750308190.5,479730878.5
Pold2,O35654,,,105464780.0,,
C1qbp,O35658,0.8381054437817897,1.1085971332005535,1712040447.5,3060616385.0,3691773185.0
Myadm,O35682,,,,,
Nudc,O35685,-0.1813616114309516,-0.34836432035943804,1166997535.0,1029140462.5,916646382.5
Pnn,O35691,0.027070554238587927,0.19380805484075156,470150240.0,479055368.0,537747871.5
Sptlc1,O35704,,,,,
Hnrnph1,O35737,-0.08333045601898875,-0.16092174517163263,3458163840.0,3264078527.5,3093166465.0
Api5,O35841,-0.41223752102911143,-0.6518774840397346,851126352.5,639584865.0,541700655.5
Bcat2,O35855,,,,,
Timm44,O35857,0.5499200833384915,0.5893236259656562,230924652.0,338074752.0,347435656.0
Cops5,O35864,0.2376449059822882,0.46010409460418766,248246284.0,292698840.0,341497784.0
Slc1a4,O35874,0.15390405560114376,0.3840784833621135,218994848.0,243648440.0,285793957.3333333
Calu,O35887,-0.238449643186641,0.20063458149137717,2149860670.0,1822341727.5,2470627902.5
Lsm2,O35900,0.017867160427791448,,178742528.0,180969942.0,
Fxn,O35943,,,,,
Mrpl23,O35972,,,,,
Zw10,O54692,0.19440483451062035,-0.19717127639457663,370692024.0,424165096.0,323339508.0
Cavin1,O54724,0.5101383705787431,0.35895198234364784,856156800.0,1219327200.0,1098015887.5
Ddost,O54734,0.4038320695346973,0.5019410724098803,1252785790.0,1657457437.5,1774092000.0
Ap3d1,O54774,-0.6662448502514445,,264574872.0,166720464.0,
Dffa,O54786,,,,,
Bysl,O54825,0.14588620257121546,-0.1345992452490551,315192928.0,348732632.0,287116436.0
