gene,n_sites,max_cr,n_engaged
CHST14,2,2.08463,0
CHST15,1,2.14509,0
CHSY3,1,3.25922,0
CHTF18,6,3.06606,0
CHTF8,1,1.88598,0
CHUK,12,3.37956,0
CIAO1,10,2.94323,0
CIAPIN1,9,8.01312,3
CIC,1,1.46937,0
CIR1,1,1.74692,0
CIRH1A,5,20.0,3
CISD1,1,2.02979,0
CISD2,2,2.6464,0
CISD3,4,1.82719,0
CIT,9,4.8671,1
CKAP2,4,2.51963,0
CKAP2L,3,10.7481,2
CKAP4,1,11.227,1
CKAP5,17,3.25298,0
CKB,2,20.0,2
CKMT1A,1,14.8086,1
CLASP1,5,3.91193,0
CLASP2,7,2.24506,0
CLCN3,4,2.5862,0
CLCN7,1,1.45937,0
CLDN7,2,1.70427,0
CLEC16A,1,1.57493,0
CLEC3B,2,2.90127,0
CLGN,2,1.98926,0
CLIC1,6,20.0,1
CLIC3,2,29.2219,2
CLIC4,2,18.0185,1
CLIP1,1,2.51627,0
CLIP2,1,2.66345,0
CLK1,1,3.00915,0
CLK3,3,3.32865,0
CLK4,1,2.35437,0
CLMN,1,1.62482,0
CLN5,1,2.11341,0
CLNS1A,1,1.72902,0
CLOCK,1,1.56065,0
CLP1,5,2.57457,0
CLPB,1,2.78325,0
CLPTM1,1,4.13994,1
CLPX,6,2.56808,0
CLSPN,2,2.51386,0
CLSTN1,2,1.63475,0
CLTA,1,4.24318,1
CLTB,1,2.57619,0
CLTC,22,5.55946,3
CLUH,11,20.0,1
CMAS,3,2.01836,0
CMBL,2,10.1529,1
CMC1,1,4.07851,1
CMC2,1,1.89214,0
CMIP,5,4.30534,1
CMSS1,1,4.53772,1
CMTM7,1,4.03544,1
CMTR1,2,1.81839,0
CMTR2,10,3.25252,0
CNBP,16,4.94562,5
CNDP2,1,20.0,1
CNN2,7,15.0487,1
CNN3,2,3.6654,0
CNNM2,1,2.94319,0
CNOT1,14,4.20572,1
CNOT10,7,2.68344,0
CNOT2,3,3.45544,0
CNOT4,2,2.24501,0
CNOT6,1,1.84835,0
CNOT6L,2,2.63118,0
CNOT7,2,1.85777,0
CNOT8,1,1.94271,0
CNP,2,1.66554,0
CNPY2,1,2.43072,0
CNTNAP1,3,2.79858,0
COASY,3,2.85199,0
COG1,10,5.70471,3
COG2,6,4.04924,1
COG3,5,3.53692,0
COG4,6,2.63959,0
COG5,4,6.69136,1
COG6,4,2.14806,0
COG7,5,2.38299,0
COG8,4,10.5429,2
COIL,3,2.88465,0
COL18A1,1,1.60898,0
COL4A3BP,5,2.51229,0
COL6A1,6,3.2571,0
COL6A2,5,4.02081,1
COLGALT1,3,20.0,1
COMMD3-BMI1,5,3.45436,0
COMMD4,2,1.44611,0
COMMD5,1,1.44401,0
COMMD6,2,1.61279,0
COMMD7,2,3.70686,0
COMMD8,1,2.13198,0
COMP,2,4.24432,1
COMT,5,3.45129,0
COMTD1,1,2.50271,0
COPA,18,4.66583,1
COPB1,8,3.64239,0
COPB2,6,3.0556,0
COPE,3,2.09532,0
COPG1,17,4.95267,2
COPG2,9,20.0,2
COPS3,5,1.9182,0
COPS4,2,1.83904,0
COPS5,1,1.37139,0
COPS6,4,1.85687,0
COPS7A,1,2.19566,0
COPS7B,5,3.60063,0
COQ10B,2,4.7999,1
COQ2,1,2.44789,0
COQ3,2,2.12331,0
CORO1B,3,3.40716,0
CORO1C,6,5.39637,1
CORO2A,1,1.6372,0
CORO7,2,2.77087,0
COX11,2,2.01529,0
COX15,1,1.43428,0
COX20,1,1.69818,0
COX6B1,2,2.66709,0
CPD,2,1.9721,0
CPNE1,1,2.40037,0
CPNE3,8,6.14255,2
CPNE7,6,3.07722,0
CPNE8,2,2.32896,0
CPOX,8,2.48972,0
CPPED1,1,3.19832,0
CPS1,2,1.82717,0
CPSF1,6,2.5146,0
CPSF2,7,2.54624,0
CPSF3,5,2.12135,0
CPSF3L,2,2.56618,0
CPSF4,9,2.50356,0
CPSF6,1,1.88806,0
CPT1A,6,14.7152,1
CPT2,6,6.31262,1
CRABP2,1,1.63622,0
CRAT,2,2.32122,0
CRBN,3,3.19225,0
CREBBP,19,3.38579,0
CRELD2,3,3.86555,0
CRIP1,3,3.22382,0
CRIP2,3,2.0386,0
CRIPT,2,2.1686,0
CRKL,2,4.70557,1
CRLF3,1,2.40133,0
CRLS1,1,3.38534,0
CRNKL1,1,3.62932,0
CRTAP,1,1.6479,0
CRTC2,1,2.89406,0
CRY2,4,1.59522,0
CRYBG3,3,2.24175,0
CRYL1,1,2.10354,0
CRYZ,1,1.4624,0
CRYZL1,1,1.62521,0
CS,2,2.06291,0
CSDE1,11,2.76693,0
CSE1L,8,4.11425,1
CSK,6,2.34683,0
CSNK1A1,3,2.69519,0
CSNK1D,1,1.5243,0
CSNK1E,2,2.64502,0
CSNK1G1,1,1.82453,0
CSNK1G2,1,2.29476,0
CSNK1G3,2,5.56196,1
CSNK2A2,1,2.1118,0
CSNK2A3,1,1.71603,0
CSNK2B,3,4.12108,1
CSNK2B-LY6G5B-1181,4,20.0,1
CSPP1,1,2.87815,0
CSRP1,6,5.24884,1
CSRP2,3,2.7892,0
CSRP2BP,3,2.47941,0
CSTF1,4,2.61963,0
CSTF2,1,2.2376,0
CSTF2T,3,2.92781,0
CSTF3,3,2.13229,0
CTAGE5,2,2.93111,0
CTBP2,3,1.88185,0
CTC1,9,11.8072,2
CTCF,8,4.00976,1
CTDNEP1,1,1.6933,0
CTDP1,10,3.58373,0
CTDSPL2,2,1.59941,0
CTIF,1,3.55912,0
CTNNA1,7,2.17478,0
CTNNAL1,2,1.54735,0
CTNNB1,4,2.0529,0
CTNNBL1,2,1.74145,0
CTNND1,9,3.17211,0
CTPS1,7,2.27345,0
CTPS2,2,1.62392,0
CTR9,12,3.57535,0
CTSA,1,1.72945,0
CTSB,6,3.25442,0
CTSC,3,4.85576,1
CTSL,2,2.99803,0
CTSV,1,1.37736,0
CTSZ,2,1.89808,0
CTTN,1,2.61098,0
CTTNBP2,1,1.44117,0
CTTNBP2NL,2,1.87757,0
CTU1,10,4.27296,1
CTU2,10,9.50869,2
CUL1,7,2.97726,0
CUL2,6,1.88436,0
CUL3,9,2.45273,0
CUL4A,7,2.07558,0
CUL4B,11,2.32096,0
CUL5,3,3.18592,0
CUL7,2,5.70145,1
CUL9,4,20.0,1
CUTC,2,2.34889,0
CWC22,5,4.23112,3
CWF19L1,9,4.25952,3
CWF19L2,1,1.53548,0
CXXC1,9,4.66399,2
CXorf23,1,2.39074,0
CXorf38,9,8.16879,1
CXorf49,1,1.77881,0
CXorf56,1,2.1594,0
CYB5B,1,6.34145,1
CYC1,2,2.94453,0
CYFIP1,7,2.37897,0
CYFIP2,8,3.35374,0
CYHR1,5,3.33629,0
CYP20A1,2,1.77239,0
CYP24A1,1,1.75508,0
CYP4F11,4,1.65735,0
CYP4F22,2,1.79891,0
CYP51A1,2,2.39089,0
CYTL1,1,2.22219,0
DAB2IP,2,2.39315,0
DAG1,1,2.25003,0
DAGLB,2,1.67972,0
DAK,4,20.0,2
DALRD3,4,3.39233,0
DAP3,4,12.2743,1
DAPK3,1,1.57556,0
DARS,7,3.1256,0
DARS2,4,2.45625,0
DAXX,2,2.60661,0
DAZAP1,2,6.0602,1
DBF4,1,2.01372,0
DBN1,4,2.06653,0
DBNDD2,1,2.28186,0
DBNL,1,1.39884,0
DBR1,5,2.72449,0
DCAF10,1,2.23319,0
DCAF12,1,2.30362,0
DCAF13,6,2.65028,0
DCAF15,4,4.51343,1
DCAF16,4,5.5019,3
DCAF4,1,1.41772,0
DCAF6,2,2.08314,0
DCAF7,3,2.14779,0
DCAF8,5,2.1625,0
DCAF8L2,1,1.55142,0
DCAKD,1,1.60536,0
DCBLD2,2,4.06923,1
DCK,3,2.46358,0
DCLRE1A,1,1.47663,0
DCLRE1C,1,1.98322,0
DCP2,1,1.52178,0
DCPS,2,3.52525,0
DCTD,3,2.86823,0
DCTN1,7,2.22361,0
DCTN2,2,2.75916,0
DCTN4,10,10.6473,2
DCTN5,2,1.56414,0
DCUN1D1,1,2.07938,0
DCUN1D2,1,3.60228,0
DCUN1D3,6,20.0,2
DCUN1D4,4,16.1682,1
DCUN1D5,3,1.84776,0
DCXR,5,2.46049,0
DDA1,1,3.97552,0
DDB1,8,2.23459,0
DDB2,8,3.43473,0
DDHD1,3,1.91482,0
DDHD2,1,2.56695,0
DDI2,2,2.05926,0
DDIT4,1,1.85444,0
DDOST,1,1.89095,0
DDR1,1,1.72782,0
DDTL,1,2.14005,0
DDX1,7,2.47162,0
DDX10,4,3.88934,0
DDX11,9,3.63149,0
DDX17,7,5.24382,1
DDX18,5,3.56947,0
DDX19A,5,2.47562,0
DDX20,7,2.2352,0
DDX21,6,8.99575,1
DDX23,4,2.24468,0
DDX24,6,2.55522,0
DDX27,5,4.1638,1
DDX28,2,4.18804,1
DDX31,5,3.70895,0
DDX39A,4,3.27147,0
DDX39B,7,2.58008,0
DDX3X,4,1.75618,0
DDX3Y,5,2.64227,0
DDX41,7,1.78139,0
DDX42,5,2.23307,0
DDX46,5,2.55357,0
DDX47,2,2.68829,0
DDX49,6,3.93407,0
DDX5,3,1.84814,0
DDX50,4,2.42552,0
DDX51,7,5.42588,2
DDX52,3,1.57607,0
DDX54,4,2.56019,0
DDX55,5,20.0,1
DDX56,5,4.87079,1
DDX58,3,1.9456,0
DDX59,2,3.30097,0
DDX6,6,2.23794,0
DDX60L,1,1.8782,0
DEAF1,4,3.13247,0
DECR1,2,1.71118,0
DECR2,1,8.22716,1
DEDD,1,2.2382,0
DEF6,6,1.85516,0
DEF8,4,1.89338,0
DEK,1,20.0,1
DENND3,3,2.80571,0
DENND4C,8,20.0,3
DENND5A,1,1.62414,0
DENR,1,1.834,0
DEPDC1,4,2.35658,0
DEPDC1B,5,2.58309,0
DEPDC5,3,4.44624,2
DEPDC7,2,2.62058,0
DFFA,3,4.25794,2
DFFB,6,15.2181,1
DFNA5,2,2.29193,0
DGAT1,1,2.10473,0
DGCR14,1,3.41632,0
DGCR8,2,2.06865,0
DGKA,6,3.34917,0
DGKD,3,2.08049,0
DGKE,3,2.24167,0
DGKZ,1,1.88587,0
DGUOK,1,2.02376,0
DHCR24,4,2.02463,0
DHCR7,1,2.36115,0
DHPS,1,2.04579,0
DHRS1,5,20.0,3
DHRS13,1,1.70447,0
DHRS3,1,2.06471,0
DHRS4L1,1,1.34424,0
DHRS7,3,20.0,1
DHTKD1,1,1.80451,0
DHX15,7,3.42146,0
DHX16,4,3.29407,0
DHX29,8,2.09673,0
DHX30,16,10.4471,1
DHX32,7,3.1336,0
DHX33,2,1.94222,0
DHX34,9,7.00466,1
DHX35,2,1.5231,0
DHX36,5,3.01483,0
DHX37,6,3.96349,0
DHX38,8,3.52192,0
DHX40,14,3.42626,0
DHX57,10,9.12775,2
DHX8,6,2.25728,0
DHX9,13,2.21434,0
DIAPH1,5,3.0391,0
DIAPH2,3,2.19828,0
DIAPH3,9,2.08508,0
DICER1,17,3.26893,0
DIDO1,11,2.59344,0
DIEXF,2,4.4247,1
DIMT1,2,1.74856,0
DIP2A,4,2.24106,0
DIP2B,8,5.48962,1
DIRAS1,3,10.0,1
DIS3,11,5.73663,1
DIS3L,10,6.23917,4
DIS3L2,10,2.55009,0
DKC1,2,3.2012,0
DLAT,2,1.72445,0
DLD,2,2.11245,0
DLG5,5,4.5362,1
DLGAP4,1,2.28971,0
DLGAP5,5,7.43741,1
DMAP1,2,2.29506,0
DMWD,4,4.36368,2
DMXL1,7,2.80586,0
DMXL2,5,2.78843,0
DNA2,6,2.32761,0
DNAAF2,4,2.22175,0
DNAJA1,6,3.45225,0
DNAJA2,5,2.74382,0
DNAJA3,2,2.3778,0
DNAJA4,4,3.18768,0
DNAJB1,3,2.45413,0
DNAJB11,2,2.24884,0
DNAJB14,2,3.40674,0
DNAJB4,3,4.6066,2
DNAJC1,2,5.05145,1
DNAJC10,7,3.11721,0
DNAJC11,4,2.69118,0
DNAJC13,14,3.80574,0
DNAJC14,4,3.54872,0
DNAJC16,3,2.4988,0
DNAJC2,4,20.0,1
DNAJC21,1,1.7075,0
DNAJC25,1,4.55797,1
DNAJC3,1,1.55794,0
DNAJC30,1,2.26319,0
DNAJC6,1,2.52542,0
DNAJC7,7,20.0,3
DNM1L,8,3.6338,0
DNM2,2,1.68079,0
DNMBP,9,10.7397,1
DNMT1,25,20.0,6
DNMT3A,5,2.18913,0
DNMT3B,8,2.50305,0
DNPEP,2,3.40681,0
DNPH1,3,2.44138,0
DNTTIP1,2,2.16864,0
DNTTIP2,4,5.46375,1
DOC2A,2,2.39515,0
DOCK1,1,1.61185,0
DOCK4,1,2.50347,0
DOCK5,5,2.36737,0
DOCK6,3,2.74813,0
DOCK7,8,3.35187,0
DOCK9,5,2.58126,0
DOHH,2,2.1248,0
DOK1,3,3.89731,0
DOLPP1,1,1.99685,0
DONSON,1,1.72384,0
DOPEY1,2,1.77742,0
DOPEY2,1,2.48428,0
DPAGT1,1,2.40885,0
DPCD,1,2.52646,0
DPF2,6,2.34354,0
DPH1,5,2.27009,0
DPH2,2,2.35468,0
DPH3,1,1.83323,0
DPH7,2,3.08767,0
DPM3,1,1.27884,0
DPP3,1,2.72965,0
DPP7,2,2.53095,0
DPY19L1,3,2.18479,0
DPYSL2,3,2.34191,0
DPYSL3,2,2.2372,0
DR1,4,4.22083,3
DRAP1,2,1.88149,0
DRG1,3,3.46198,0
DRG2,3,2.07987,0
DROSHA,3,2.83947,0
DSC2,4,2.0999,0
DSCC1,3,2.03722,0
DSCR3,4,1.77012,0
DSE,2,1.59843,0
DSG2,1,1.36996,0
DSN1,3,4.76126,1
DST,12,3.38439,0
DSTN,6,3.33243,0
DTL,7,20.0,1
DTNA,2,2.08124,0
DTNB,4,2.54229,0
DTNBP1,1,3.37787,0
DTWD2,1,2.68017,0
DTX2,3,1.97697,0
DTX3L,5,3.38064,0
DTYMK,3,1.56451,0
DUS1L,10,4.24746,2
DUS2,6,2.00944,0
DUS3L,6,4.46301,1
DUS4L,2,2.76854,0
DUSP1,2,1.75506,0
DUSP11,1,2.44444,0
DUSP12,3,1.92224,0
DUSP14,1,1.61363,0
DUSP22,1,2.82514,0
DUSP23,1,2.18179,0
DUSP3,1,2.22498,0
DUSP4,6,4.23641,2
DUSP5,6,3.33722,0
DUSP6,1,4.07819,1
DUSP7,1,1.74075,0
DUSP9,3,1.52336,0
DUT,2,1.96754,0
DVL1,2,2.28296,0
DVL2,2,7.03443,1
DVL3,3,2.164,0
DYM,1,2.43316,0
DYNC1H1,29,3.55855,0
DYNC1I2,1,1.80555,0
DYNC1LI1,3,1.60582,0
DYNC1LI2,2,2.1168,0
DYNC2LI1,1,1.25682,0
DYNLT1,2,1.79477,0
DYNLT3,1,2.22881,0
DYRK1A,1,1.65998,0
DZIP3,4,1.78481,0
E2F3,3,9.70426,2
E2F4,4,3.08938,0
EAF2,1,2.46177,0
EARS2,3,3.36259,0
EBNA1BP2,1,2.20459,0
ECD,6,2.67095,0
ECE1,1,2.32032,0
ECH1,1,3.84985,0
ECHDC1,1,2.27855,0
ECHS1,4,3.70507,0
ECI1,2,2.02452,0
ECI2,2,2.98128,0
ECM29,17,3.33292,0
ECT2,7,2.16597,0
EDC3,5,2.73143,0
EDC4,14,6.20164,3
EDEM3,1,1.24947,0
EDRF1,13,2.3021,0
EEA1,1,2.35403,0
EED,6,4.43182,1
EEF1A1,3,11.7551,1
EEF1A1P5,2,20.0,1
EEF1A2,6,2.53396,0
EEF1B2,1,1.94018,0
EEF1D,2,3.20316,0
EEF1E1,1,2.50518,0
EEF1G,5,20.0,1
EEF2,14,3.09847,0
EEFSEC,5,4.97365,1
EEPD1,1,1.76727,0
EFCAB4B,2,2.64026,0
EFEMP1,3,2.37655,0
EFHD2,1,3.24424,0
EFNB2,1,1.31438,0
EFR3A,2,3.47692,0
EFTUD1,11,7.02452,2
EFTUD2,5,1.67943,0
EGFL7,8,2.62934,0
EGFR,10,3.72796,0
EGLN1,7,3.55813,0
EHBP1L1,5,10.2559,1
EHD1,1,1.58035,0
EHD4,2,2.50932,0
EHHADH,5,1.91214,0
EHMT1,8,2.8376,0
EHMT2,17,3.21479,0
EI24,1,1.62896,0
EIF1,2,2.4642,0
EIF1AD,1,1.98262,0
EIF2A,6,2.19411,0
EIF2AK1,3,4.61696,1
EIF2AK2,2,1.77982,0
EIF2AK3,1,2.31506,0
EIF2AK4,11,7.1979,1
EIF2B1,2,1.87555,0
EIF2B2,2,2.20743,0
EIF2B3,4,7.95662,3
EIF2B4,7,4.34033,1
EIF2B5,2,2.6866,0
EIF2D,5,2.33142,0
EIF2S1,3,1.8297,0
EIF2S2,6,1.70476,0
EIF2S3,7,3.33792,0
EIF3A,4,2.76455,0
EIF3B,6,2.78721,0
EIF3CL,8,2.71148,0
EIF3D,11,8.60476,1
EIF3E,3,3.33725,0
EIF3F,2,1.86863,0
EIF3G,2,3.07104,0
EIF3H,1,1.5004,0
EIF3I,5,2.18397,0
EIF3J,1,1.78698,0
EIF3K,4,1.65895,0
EIF3L,2,2.87029,0
EIF3M,6,2.11824,0
EIF4A1,2,2.52074,0
EIF4A2,4,2.11913,0
EIF4A3,4,5.04428,2
EIF4E,2,1.71456,0
EIF4ENIF1,1,2.57484,0
EIF4G1,8,2.41096,0
EIF4G2,5,2.02039,0
EIF4G3,4,2.55743,0
EIF4H,1,1.92856,0
EIF5,5,2.79199,0
EIF5A,2,2.77672,0
EIF5B,6,2.36057,0
EIF6,5,2.06315,0
ELAC2,12,2.40133,0
ELF2,1,2.81617,0
ELFN2,1,1.42562,0
ELL,5,4.43997,1
ELL3,1,3.67248,0
ELMO1,1,1.81497,0
ELMO2,2,1.83479,0
ELMO3,1,1.32147,0
ELMOD2,1,2.69306,0
ELMSAN1,1,2.01183,0
ELOF1,2,1.82272,0
ELOVL1,1,1.79384,0
ELOVL5,2,3.46368,0
ELOVL6,1,1.92738,0
ELOVL7,1,1.62494,0
ELP2,10,3.84541,0
ELP3,5,3.1423,0
ELP4,4,6.36498,1
ELP5,5,2.49517,0
ELP6,2,2.23022,0
EMC4,1,1.3729,0
EMC6,1,1.53909,0
EMC8,3,1.69724,0
EME1,2,1.80818,0
EMG1,2,1.91785,0
EML2,1,1.93771,0
EML3,4,2.12602,0
EML4,8,2.63156,0
EMSY,1,2.07049,0
ENAH,1,1.25759,0
ENDOD1,1,1.84797,0
ENDOG,1,1.5294,0
ENGASE,1,1.98933,0
ENO1,4,3.29912,0
ENOSF1,3,2.21832,0
ENOX2,4,3.06584,0
ENPP2,1,2.53334,0
ENTHD2,2,2.58247,0
ENY2,1,1.99493,0
EP300,4,1.83432,0
EP400,5,2.81709,0
EPB41,2,2.12082,0
EPB41L1,2,1.91743,0
EPB41L2,6,2.63158,0
EPB41L3,2,3.96341,0
EPB41L4B,2,2.96131,0
EPB41L5,2,3.78981,0
EPC1,1,2.68402,0
EPC2,2,2.66154,0
EPCAM,5,3.10732,0
EPG5,6,5.03947,2
EPHA1,3,2.48135,0
EPHA2,6,2.95207,0
EPHB2,2,20.0,1
EPHX4,1,4.0883,1
EPM2AIP1,2,3.10539,0
EPPK1,10,3.6101,0
EPRS,22,3.33728,0
EPS15,2,2.4634,0
EPS15L1,1,1.43425,0
EPS8,2,2.57438,0
EPS8L2,4,2.25477,0
ERAL1,1,1.60749,0
ERAP1,1,2.20626,0
ERBB2,4,2.53931,0
ERCC2,7,3.08683,0
ERCC3,4,2.3584,0
ERCC4,4,2.0135,0
ERCC6,1,2.45133,0
ERCC6L,5,2.79327,0
ERCC6L2,2,3.39847,0
ERCC8,1,4.86872,1
EREG,1,2.43153,0
ERF,1,1.30688,0
ERH,2,1.77268,0
ERI1,4,4.33273,1
ERI2,1,1.49829,0
ERI3,6,4.07817,2
ERLIN1,2,3.56826,0
ERLIN2,2,1.63197,0
ERMP1,1,2.727,0
ERN1,1,1.26493,0
ERO1L,14,10.5532,1
ERO1LB,2,4.13236,2
ERP29,1,2.34378,0
ERP44,2,1.42676,0
ERRFI1,8,3.5259,0
ERVMER34-1,5,3.26991,0
ESCO1,2,2.32629,0
ESCO2,6,2.63492,0
ESD,5,4.50615,2
ESF1,4,2.15733,0
ESPL1,14,2.29319,0
ESPN,1,6.0243,1
ESRP1,5,5.46212,1
ESRP2,4,2.7822,0
ESYT1,5,5.62792,2
ESYT2,2,2.15662,0
ETF1,4,5.32539,1
ETFA,2,1.83182,0
ETFB,3,3.77065,0
ETHE1,3,2.63819,0
ETNK1,3,1.68073,0
ETNK2,3,1.87951,0
ETV3,1,1.34797,0
EVI5,1,1.49252,0
EVPL,3,2.81231,0
EWSR1,8,20.0,3
EXD2,3,2.5949,0
EXO1,8,2.20551,0
EXOC1,6,5.83046,1
EXOC2,5,1.85789,0
EXOC3,1,2.89856,0
EXOC4,2,1.74376,0
EXOC5,7,2.17498,0
EXOC6,3,2.16033,0
EXOC6B,4,1.53495,0
EXOC7,2,1.31598,0
EXOC8,2,2.20891,0
EXOSC1,3,2.22008,0
EXOSC10,8,10.283,1
EXOSC3,4,2.42913,0
EXOSC4,1,2.28519,0
EXOSC5,4,10.8376,1
EXOSC6,1,2.50806,0
EXOSC7,3,2.53829,0
EXOSC8,3,3.4787,0
EXOSC9,7,2.32341,0
EXT2,3,1.5184,0
EXTL3,1,1.44193,0
EYA3,1,1.77678,0
EZH2,18,20.0,6
EZR,2,2.00697,0
F10,1,2.9373,0
F13A1,1,13.6352,1
F2,5,2.82854,0
F2R,1,1.9194,0
F3,2,3.27026,0
F8A1,2,2.13199,0
FAAH,3,2.32796,0
FAAP100,11,6.80813,2
FABP5,6,8.49777,3
FADS3,1,1.79717,0
FAF1,1,1.38194,0
FAF2,4,2.57622,0
FAHD2B,2,1.6224,0
FAIM,1,1.66136,0
FAM101B,1,2.26997,0
FAM105A,1,2.13125,0
FAM105B,3,2.10194,0
FAM111B,2,2.3083,0
FAM114A2,1,1.5942,0
FAM115A,7,11.1471,2
FAM115C,1,1.88592,0
FAM118A,3,4.3,1
FAM118B,2,2.34181,0
FAM120A,12,15.6337,1
FAM120B,12,3.36734,0
FAM122B,3,3.27343,0
FAM124A,2,1.6181,0
FAM126A,2,1.37753,0
FAM129A,2,1.58372,0
FAM129B,4,1.82701,0
FAM134A,1,1.80021,0
FAM135A,2,2.27882,0
FAM136A,4,2.07611,0
FAM160A1,1,4.9055,1
FAM160A2,1,1.9428,0
FAM160B1,6,6.6294,3
FAM160B2,3,2.1543,0
FAM161A,1,1.42352,0
FAM169A,1,2.19415,0
FAM171A1,1,2.09556,0
FAM173A,2,2.13371,0
FAM175A,1,3.18024,0
FAM188A,1,2.7357,0
FAM188B,2,1.76519,0
FAM189B,2,2.91631,0
FAM192A,1,3.76806,0
FAM193A,1,2.09817,0
FAM203A,4,3.52676,0
FAM206A,3,2.28584,0
FAM208A,9,2.74443,0
FAM208B,8,3.56422,0
FAM213B,5,11.053,3
FAM21A,1,1.93616,0
FAM3C,1,2.44789,0
FAM45A,4,3.38131,0
FAM49B,4,2.37345,0
FAM57A,2,2.51898,0
FAM60A,6,3.45196,0
FAM65A,13,3.09315,0
FAM72A,1,1.41415,0
FAM73A,4,8.4981,1
FAM76A,3,2.92022,0
FAM76B,2,1.78208,0
FAM83B,2,2.38577,0
FAM83D,1,2.79919,0
FAM83F,2,3.08282,0
FAM83G,2,2.18163,0
FAM83H,3,5.19344,1
FAM84B,1,1.6757,0
FAM86A,3,10.4415,1
FAM91A1,7,1.99004,0
FAM92A1,3,2.64196,0
FAM98A,3,1.78673,0
FAM98B,4,2.17112,0
FAM98C,5,6.89604,1
FAN1,5,2.20677,0
FANCA,17,6.5176,5
FANCB,5,2.46068,0
FANCD2,7,2.46934,0
FANCE,1,2.80724,0
FANCG,5,5.25312,2
FANCI,13,2.81185,0
FANCL,2,1.70087,0
FARP1,2,2.00747,0
FARS2,2,1.88736,0
FARSA,1,1.42167,0
FARSB,5,20.0,1
FAS,1,2.76802,0
FASN,31,4.39189,2
FASTK,1,2.46713,0
FASTKD1,5,3.28416,0
FASTKD2,7,3.58592,0
FASTKD3,7,2.26857,0
FASTKD5,6,2.74226,0
FAT1,20,5.60235,1
FBL,2,1.64634,0
FBLIM1,2,1.59302,0
FBLN1,5,5.45322,1
FBN3,1,1.71508,0
FBRS,2,2.36603,0
FBXL12,1,1.44591,0
FBXL14,2,2.2332,0
FBXL15,6,20.0,2
FBXL16,3,1.91305,0
FBXL17,6,6.1574,2
FBXL18,7,2.4538,0
FBXL19,3,1.70136,0
FBXL20,1,2.42176,0
FBXL3,2,2.28299,0
FBXL6,8,2.34626,0
FBXO11,4,3.66507,0
FBXO17,1,1.61576,0
FBXO18,4,3.41612,0
FBXO2,5,20.0,2
FBXO21,1,1.47474,0
FBXO22,4,4.95035,1
FBXO27,1,1.83017,0
FBXO28,4,1.73729,0
FBXO3,2,1.44916,0
FBXO30,10,3.39026,0
FBXO31,4,2.64096,0
FBXO38,5,4.73087,1
FBXO42,2,1.93043,0
FBXO46,2,1.51546,0
FBXO5,10,3.29134,0
FBXO6,2,1.87848,0
FBXO7,3,2.05659,0
FBXO9,1,1.22104,0
FBXW11,1,1.94814,0
FBXW2,1,1.73933,0
FBXW4,3,2.23792,0
FBXW9,1,2.743,0
FCF1,6,2.35601,0
FCHO1,1,2.97982,0
FCHO2,3,2.1921,0
FDFT1,4,2.25436,0
FDPS,4,7.85113,2
FDXR,3,3.54252,0
FECH,7,2.34642,0
FEM1B,3,2.12947,0
FEM1C,1,2.30433,0
FEN1,2,1.90314,0
FER,4,7.06433,1
FERMT1,4,2.71213,0
FERMT2,6,3.0964,0
FGB,1,8.45104,1
FGD1,1,1.70775,0
FGD4,4,2.46711,0
FGD6,4,1.70653,0
FGF2,1,1.48354,0
FGFR1OP2,1,1.7913,0
FGFR4,1,1.64707,0
FGG,1,2.70812,0
FH,1,2.49095,0
FHL1,11,4.19557,2
FHL2,24,5.71926,3
FHL3,12,4.67247,2
FHOD1,4,2.19199,0
FIBP,1,2.83041,0
FIG4,2,4.27192,1
FIGNL1,4,1.4608,0
FIP1L1,1,1.81574,0
FIS1,1,1.8339,0
FITM2,1,1.89416,0
FKBP10,2,2.20316,0
FKBP15,3,2.40307,0
FKBP3,1,1.35413,0
FKBP4,5,2.05951,0
FKBP5,6,3.14037,0
FKBP8,4,2.23438,0
FKBPL,2,2.25976,0
FLAD1,6,4.64597,2
FLCN,4,2.46758,0
FLII,12,4.88173,1
FLNA,28,5.84915,2
FLNB,20,3.4255,0
FLNC,16,2.47342,0
FLT4,1,1.54174,0
FLYWCH1,1,2.18742,0
FLYWCH2,1,1.91118,0
FMNL2,1,2.16129,0
FMR1,3,2.46823,0
FN1,5,20.0,4
FN3K,1,9.32703,1
FN3KRP,2,4.54506,1
FNBP1,3,2.30574,0
FNBP1L,1,1.70881,0
FNBP4,1,2.55058,0
FNDC3A,19,3.04342,0
FNDC3B,11,4.19112,1
FNIP1,4,1.73079,0
FNTB,1,1.54842,0
FOCAD,8,3.09017,0
FOSL1,3,3.21696,0
FOXJ2,1,2.81465,0
FOXK1,3,4.09084,1
FOXM1,2,4.67689,1
FOXO3,1,1.72329,0
FOXP4,3,1.75474,0
FOXRED1,1,1.44601,0
FPGS,6,3.41423,0
FPGT,4,1.88719,0
FRA10AC1,5,6.12896,2
FRAS1,6,5.48199,2
FRG1,2,1.97924,0
FRMD5,5,4.35913,2
FRMD6,1,4.92641,1
FRMD8,6,10.9956,1
FRYL,11,5.43846,1
FSCN1,6,2.93839,0
FSD1L,1,1.78339,0
FSTL1,2,4.54527,2
FTH1,2,2.12618,0
FTO,6,2.48603,0
FTSJ1,4,5.03032,1
FTSJ2,1,1.68374,0
