gene,n_sites,max_cr,n_engaged
AMN1,3,1.70608,0
AMPD2,5,4.27452,1
AMZ2,2,1.7481,0
ANAPC1,6,2.58914,0
ANAPC10,1,1.7021,0
ANAPC11,6,2.33327,0
ANAPC2,5,1.879,0
ANAPC4,1,1.46816,0
ANAPC5,3,3.5101,0
ANAPC7,6,3.52391,0
ANGEL1,5,2.9306,0
ANGEL2,3,3.06449,0
ANK3,4,3.0337,0
ANKFY1,13,20.0,1
ANKHD1,11,6.78621,1
ANKIB1,8,2.69951,0
ANKLE2,6,3.28,0
ANKMY2,5,2.12521,0
ANKRD10,1,1.38345,0
ANKRD11,4,7.82033,2
ANKRD13A,2,2.62626,0
ANKRD13D,2,2.56154,0
ANKRD16,4,2.00118,0
ANKRD17,9,8.76884,1
ANKRD27,8,2.59026,0
ANKRD28,10,2.39341,0
ANKRD39,2,2.34982,0
ANKRD40,5,20.0,1
ANKRD44,2,2.2259,0
ANKRD50,8,2.73936,0
ANKRD52,9,6.0555,2
ANKRD54,3,2.12241,0
ANKRD9,2,2.34771,0
ANKS1A,7,3.18281,0
ANLN,14,3.36826,0
ANO1,3,2.59128,0
ANO10,1,1.6153,0
ANO6,5,2.48987,0
ANP32B,2,2.08544,0
ANP32E,2,1.72603,0
ANXA1,3,2.46655,0
ANXA11,3,2.40519,0
ANXA2,2,2.43358,0
ANXA3,1,3.00828,0
ANXA4,2,20.0,2
ANXA5,1,14.7925,1
ANXA6,4,4.19339,1
ANXA7,5,1.86206,0
AP1B1,3,1.94754,0
AP1G1,6,2.3846,0
AP1G2,4,2.41423,0
AP1M2,1,1.54147,0
AP1S1,1,5.47743,1
AP2A1,12,3.55792,0
AP2A2,7,2.79909,0
AP2B1,6,2.7079,0
AP2M1,4,3.65388,0
AP3B1,4,3.97023,0
AP3D1,8,3.67836,0
AP3M1,5,3.81477,0
AP3M2,1,3.356,0
AP3S1,3,1.63299,0
AP4B1,3,1.98491,0
AP4E1,4,7.18541,2
AP4M1,2,2.15307,0
AP4S1,1,1.85002,0
AP5B1,3,2.77416,0
AP5M1,1,1.81614,0
AP5S1,1,2.2632,0
AP5Z1,1,1.5151,0
APAF1,4,4.0052,1
APBA3,2,1.85947,0
APBB2,4,3.84901,0
APC,4,2.23836,0
APEH,2,1.63487,0
APEX1,2,2.38805,0
APEX2,5,2.7642,0
API5,2,1.77453,0
APIP,4,5.46596,2
APLP2,1,2.11301,0
APMAP,5,2.7211,0
APOA1BP,2,2.2781,0
APOBEC3B,2,2.41089,0
APOBEC3C,5,15.3777,1
APOBEC3D,1,1.79445,0
APOO,2,1.69878,0
APOOL,2,3.94831,0
APP,3,3.08317,0
APPL1,7,2.16653,0
APPL2,5,2.0446,0
APRT,2,20.0,1
AQP3,1,1.95801,0
AQR,8,2.64918,0
ARAF,3,4.44201,2
ARAP1,6,2.27437,0
ARAP3,8,8.94471,2
ARCN1,4,2.46893,0
AREG,4,6.29162,3
ARF1,1,2.56193,0
ARF4,2,3.07265,0
ARF5,1,2.13056,0
ARF6,2,2.65583,0
ARFGAP1,2,2.94187,0
ARFGAP2,4,1.76436,0
ARFGAP3,4,2.6993,0
ARFGEF1,12,20.0,1
ARFGEF2,6,2.27974,0
ARFGEF3,5,4.85704,2
ARFRP1,4,2.22726,0
ARHGAP1,1,3.55658,0
ARHGAP10,2,1.72811,0
ARHGAP11A,7,2.50649,0
ARHGAP12,3,3.04689,0
ARHGAP18,3,2.31104,0
ARHGAP19,2,3.0982,0
ARHGAP21,2,2.09955,0
ARHGAP26,3,1.46162,0
ARHGAP27,4,2.2379,0
ARHGAP29,18,5.32828,1
ARHGAP35,6,1.87397,0
ARHGAP39,4,1.784,0
ARHGAP4,2,1.98025,0
ARHGAP42,1,2.57174,0
ARHGAP5,6,1.86316,0
ARHGAP8,2,1.90129,0
ARHGEF1,6,2.28987,0
ARHGEF10,4,2.10957,0
ARHGEF10L,1,3.01262,0
ARHGEF11,2,1.58796,0
ARHGEF12,4,3.81152,0
ARHGEF16,2,1.7643,0
ARHGEF18,3,2.00575,0
ARHGEF2,8,2.84656,0
ARHGEF26,2,2.22796,0
ARHGEF28,1,1.66508,0
ARHGEF3,6,2.97193,0
ARHGEF39,2,2.97026,0
ARHGEF4,1,12.2447,1
ARHGEF40,2,1.99613,0
ARHGEF5,6,4.64253,1
ARHGEF7,5,3.51524,0
ARID1A,10,4.13024,1
ARID1B,4,2.09485,0
ARID2,15,2.88678,0
ARID4B,4,2.25738,0
ARIH1,17,8.41817,1
ARIH2,12,4.3505,1
ARL1,2,2.73254,0
ARL13B,2,1.57444,0
ARL14EP,3,1.72769,0
ARL16,2,2.68491,0
ARL2BP,1,5.1109,1
ARL3,3,3.01175,0
ARL5B,5,4.48756,1
ARL6IP1,1,1.5471,0
ARL6IP4,5,5.92511,3
ARL8B,3,2.49318,0
ARMC10,1,1.96703,0
ARMC4,7,5.44876,2
ARMC5,8,15.012,1
ARMC6,5,3.08929,0
ARMC7,1,1.56532,0
ARMC8,7,2.74103,0
ARMC9,1,1.53928,0
ARMCX3,4,1.9479,0
ARMCX5,1,1.76544,0
ARNT,3,2.89028,0
ARNTL,1,1.53859,0
ARPC1A,1,1.64992,0
ARPC1B,6,2.16761,0
ARPC2,1,1.66834,0
ARPC3,1,1.821,0
ARPC5,1,20.0,1
ARPIN,1,3.06404,0
ARRB1,3,4.50344,2
ARRB2,5,2.80324,0
ARRDC1,2,2.01025,0
ARSB,2,1.56584,0
ART5,1,2.52771,0
ASAP1,1,2.45027,0
ASAP2,3,2.3594,0
ASAP3,1,1.44646,0
ASB1,5,20.0,1
ASB13,1,1.37194,0
ASB6,2,1.56248,0
ASCC1,1,1.52047,0
ASCC2,3,1.67028,0
ASCC3,11,3.15316,0
ASF1A,1,1.89935,0
ASF1B,4,3.785,0
ASH1L,4,2.75097,0
ASH2L,6,20.0,1
ASMTL,5,2.48634,0
ASNA1,2,2.43277,0
ASNS,4,2.24257,0
ASPH,4,2.04382,0
ASPHD2,4,3.08065,0
ASPM,13,2.81817,0
ASPSCR1,7,2.74136,0
ASRGL1,1,1.65073,0
ASS1,1,3.6692,0
ASTE1,1,1.43479,0
ASUN,10,1.96695,0
ATAD1,3,3.01739,0
ATAD2,9,2.41754,0
ATAD2B,3,1.74993,0
ATAD3B,8,20.0,4
ATAD5,5,2.07313,0
ATE1,6,5.29947,2
ATF6B,1,3.19391,0
ATF7IP,5,3.02466,0
ATG12,1,1.72057,0
ATG14,5,4.50481,2
ATG16L1,2,2.30704,0
ATG2A,6,3.43532,0
ATG2B,2,3.82122,0
ATG3,2,2.85665,0
ATG4A,5,2.33226,0
ATG4B,6,5.10199,1
ATG4C,2,2.76311,0
ATG5,1,1.63623,0
ATG7,10,3.91252,0
ATG9A,5,20.0,2
ATIC,4,3.25915,0
ATL2,3,1.46491,0
ATL3,3,2.47092,0
ATM,4,2.01568,0
ATOX1,3,3.39388,0
ATP11A,2,2.24443,0
ATP13A1,10,2.62353,0
ATP13A3,2,1.37998,0
ATP1A1,7,10.3651,2
ATP1A3,3,1.7621,0
ATP2A2,12,2.17248,0
ATP2A3,5,2.58572,0
ATP2B1,5,2.4147,0
ATP2B4,4,1.73061,0
ATP2C1,9,2.86042,0
ATP5A1,2,2.50988,0
ATP5E,1,1.54582,0
ATP5H,1,2.18256,0
ATP5O,1,1.49084,0
ATP5S,2,2.06275,0
ATP5SL,5,2.82385,0
ATP6V0D1,4,1.91255,0
ATP6V1A,5,20.0,1
ATP6V1B2,3,1.66456,0
ATP6V1C1,3,2.1252,0
ATP6V1G1,1,4.64496,1
ATP6V1H,2,2.21122,0
ATP7A,2,3.19697,0
ATP7B,2,2.64483,0
ATP9A,2,1.89301,0
ATP9B,2,1.39766,0
ATPAF1,3,3.5617,0
ATPAF2,1,2.07481,0
ATR,19,3.46539,0
ATRIP,4,12.5022,3
ATRX,21,4.15032,1
ATXN10,9,4.61542,2
ATXN2,5,2.54528,0
ATXN2L,1,1.48384,0
ATXN3,1,1.77914,0
ATXN7,2,3.56502,0
ATXN7L2,4,3.6759,0
ATXN7L3,1,1.52295,0
ATXN7L3B,2,3.2196,0
AUP1,1,1.99432,0
AURKA,5,5.29972,1
AURKB,2,2.25957,0
AVEN,3,4.19904,1
AVL9,1,1.83818,0
AXIN2,1,1.89737,0
AXL,6,2.21347,0
AZI1,3,1.95746,0
AZI2,2,2.35896,0
B3GALNT1,2,2.0542,0
B3GNT3,2,1.64065,0
B4GALT3,1,1.70999,0
B4GALT5,1,1.86934,0
BABAM1,1,1.59825,0
BACH1,3,2.01691,0
BAG1,2,3.32017,0
BAG2,1,1.99396,0
BAG3,2,5.60815,1
BAG4,1,1.51031,0
BAG5,4,3.07605,0
BAG6,2,1.79051,0
BAHCC1,2,1.84276,0
BAIAP2,3,2.06408,0
BAIAP2L1,3,2.22532,0
BAK1,1,2.25405,0
BANF1,2,3.17442,0
BANP,3,20.0,1
BAP1,2,1.62314,0
BAZ1A,15,19.7193,2
BAZ1B,20,5.16844,2
BAZ2A,17,4.06166,1
BBS9,2,2.31911,0
BBX,2,1.9853,0
BCAP29,1,1.80663,0
BCAR3,5,4.06148,2
BCAS2,2,2.56009,0
BCAS3,4,2.5817,0
BCAT2,4,2.90037,0
BCCIP,4,2.9567,0
